Runner,Time,Date
Michael McFadden,61.599,2004-08-04
Sceptus,53.859,2006-02-24
IsraeliRD,47.765,2006-04-10
IsraeliRD,28.619,2006-06-19
IsraeliRD,24.269,2006-06-19
IsraeliRD,16.909,2006-06-19
IsraeliRD,12.564,2006-07-27
IsraeliRD,10.509,???
IsraeliRD,8.141,???
Xelna,5.671,2006-08-28
Xelna,5.532,2006-09-09
Xelna,5.319,2006-09-09
Xelna,5.219,2006-09-18
Xelna,4.641,2006-10-07
Xelna,4.321,2009-01-13
Xelna,3.809,2009-02-04
Xelna,3.699,2009-02-04
Xelna,3.669,2009-02-04
Xelna,3.307,2009-02-05
Xelna,3.268,2011-09-26
Xelna,3.152,2011-09-10
Kalle29,3.100,2016-11-17
Xedron,3.067,2018-04-13
Xelna,3.064,2020-04-14
Xelna,3.026,2020-04-16
Xelna,3.023,2020-04-16
Xelna,3.018,2020-04-25
Xelna,3.002,2020-04-29
Xelna,3.000,2020-05-22
Xelna,2.995,2020-05-22
