Runner,Time,Date
Michael McFadden,9.579,2004-08-04
Sceptus,8.672,2006-03-03
Xelna,7.250,2006-08-05
Xelna,6.953,2006-07-29
Xelna,6.828,2006-08-18
Dushine,6.799,2008-07-06
Xelna,6.755,2009-01-11
Xelna,6.729,2009-02-08
Xelna,6.669,2009-02-08
Xelna,6.639,2009-02-08
Xelna,6.619,2009-02-08
Xelna,6.583,2009-02-08
Xelna,5.663,2009-02-26
Xelna,5.419,2009-02-26
Xelna,5.339,2009-02-26
Xelna,5.180,2009-02-27
DKman00,5.172,2018-03-17
Nature Freak,5.148,2018-12-16
Xelna,5.141,2019-03-10
Xedron,5.093,2019-09-08
Xedron,5.049,2020-03-17
HappyTreeX1,5.048,2020-10-18
HappyTreeX1,5.033,2020-10-21
HappyTreeX1,5.011,2020-10-23
HappyTreeX1,5.005,2020-10-26
HappyTreeX1,4.985,2020-10-27
HappyTreeX1,4.984,2020-12-20
HappyTreeX1,4.977,2020-12-26
HappyTreeX1,4.970,2021-03-01
HappyTreeX1,4.949,2021-05-30
