Runner,Time,Date
Michael McFadden,43.439,2004-08-04
IsraeliRD,33.417,2006-02-21
IsraeliRD,12.795,2006-05-05	
Xelna,8.399,2006-07-15
Xelna,6.250,2006-07-16
Xelna,5.172,2006-07-18
IsraeliRD,5.063,2006-08-13
Xelna,5.046,2006-08-18
Xelna,3.922,2006-08-19
Xelna,3.828,2006-09-29
IsraeliRD,3.669,2007-06-19
Xelna,3.635,2009-01-18
hPerks,3.299,2010-08-14
Xelna,2.669,2010-08-14
Xelna,2.659,2011-02-05
Kalle29,2.652,2014-08-05
Kalle29,2.634,2016-12-22
hPerks,2.630,2019-05-13
Nature Freak,2.619,2019-12-16
Nature Freak,2.618,2019-12-17
Xelna,2.617,2021-09-16
