Runner,Time,Date
Michael McFadden,15.679,2004-08-04
Jerry the Llama,8.599,2006-02-20
Andrew Patterson,8.10,2006-05-26
Andrew Patterson,8.06,2006-05-26
Andrew Patterson,7.984,2006-05-30
Xelna,6.984,2006-07-28
Xelna,6.817,2009-01-10
Xelna,6.77,2009-01-31
Xelna,6.708,2009-01-31
Xelna,6.646,2009-03-28
Xelna,6.053,2012-10-16
Kalle29,5.827,2016-08-22
Nature Freak,5.811,2019-02-06
Nature Freak,5.793,2019-02-08
Nature Freak,5.761,2019-02-08
Nature Freak,5.724,2019-02-25
DKman00,5.670,2019-05-02
DKman00,5.636,2019-05-06
