Runner,Time,Date
Michael McFadden,43.459,2004-08-04
IsraeliRD,33.558,2006-04-10
IsraeliRD,32.457,2006-XX-XX
IsraeliRD,30.627,2006-08-XX
Xelna,30.000,2006-09-03
Xelna,29.750,2006-09-03
IsraeliRD,29.363,2007-XX-XX
Xelna,29.172,2009-01-17
Xelna,28.569,2009-04-08
Xelna,27.709,2009-04-08
Xelna,27.519,2009-04-08
Xelna,27.470,2009-04-08
Xelna,27.379,2009-04-13
Xelna,27.315,2009-04-13
Xelna,26.879,2011-12-29
Xelna,26.709,2011-12-30
Xelna,26.473,2011-12-30
Xelna,26.193,2011-12-30
Powerjohn25,25.725,2014-08-01
Kalle29,25.511,2018-02-19
Kalle29,24.871,2018-02-22
Cobalt,24.358,2020-04-02
Cobalt,24.219,2020-04-03
Cobalt,24.177,2020-04-03
Cobalt,24.118,2020-04-03
Cobalt,24.002,2020-04-04
Cobalt,23.800,2020-04-04
