Runner,Time,Date
Michael McFadden,1:29.099,2004-08-04
IsraeliRD,1:05.11,2006-02-08
IsraeliRD,57.067,2006-02-11
Xelna,49.140,2006-07-29
Xelna,42.437,2006-08-17
Xelna,41.68,2006-09-30
Xelna,41.14,2006-10-07
Xelna,33.906,2006-11-11
Xelna,32.635,2009-01-24
iMacmatician,32.15,2009-06-15
iMacmatician,26.84,2009-06-15
iMacmatician,23.453,2009-11-01
iMacmatician,23.435,2014-10-XX
iMacmatician,23.229,2014-10-XX
Lee,22.519,2016-10-31
Lee,22.437,2016-11-05
Lee,21.219,2017-03-19
Lee,19.656,2017-03-19
Lee,19.078,2019-03-17
Lee,18.250,2019-12-17
