Runner,Time,Date
Michael McFadden,3.509,2004-08-04
tingly,3.082,2005-08-30
IsraeliRD,3.064,2006-09-23
Xelna,3.059,2007-10-24
Imperial,3.049,2008-05-XX
Xelna,3.042,2008-XX-XX
Xelna,3.031,2009-03-17
hPerks,3.029,2010-01-12
Kalle29,3.026,2015-01-01
Nature Freak,3.000,2015-09-02
Nature Freak,2.998,2015-09-02
Nature Freak,2.994,2015-09-03
Regislian,2.969,2016-XX-XX
Nature Freak,2.964,2016-06-10
Nature Freak,2.937,2016-06-10
Kalle29,2.907,2016-09-17
Kalle29,2.901,2016-09-17
Kalle29,2.900,2016-09-17
Nature Freak,2.897,2016-09-20
Nature Freak,2.892,2018-04-28
Nature Freak,2.891,2018-12-07
Nature Freak,2.885,2018-12-11
muffe,2.881,2019-04-21
Nature Freak,2.880,2019-06-29
Dom,2.878,2020-09-02
