Runner,Time,Date
Michael McFadden,39.479,2004-08-04
Ronzo,38.297,2006-03-15
IsraeliRD,36.221,2006-04-10
IsraeliRD,28.989,2006-06-13
IsraeliRD,28.349,2006-06-18
Xelna,24.469,2006-07-16
IsraeliRD,23.344,2006-07-21
Xelna,22.769,2006-08-15
Xelna,21.379,2006-08-17
Xelna,19.516,2006-08-18
IsraeliRD,18.819,2007-01-XX
IsraeliRD,18.062,2008-12-18
IsraeliRD,17.734,2008-12-18
IsraeliRD,17.234,2008-12-19
IsraeliRD,16.125,2009-02-01
IsraeliRD,15.640,2009-02-05
IsraeliRD,15.594,2011-07-22
Xelna,14.649,???
Xelna,14.289,???	
Xelna,14.289,2011-08-05
Xelna,13.259,2011-08-05
Xelna,13.199,2011-08-05
Xelna,12.620,2011-08-09
Powerjohn,12.417,2014-03-24
Kalle29,12.200,2015-02-23
Kalle29,11.747,2016-09-21
Kalle29,11.566,2016-11-16
HappyTreeX1,11.562,2021-06-18
HappyTreeX1,11.546,2021-06-21
HappyTreeX1,11.388,2021-06-29
HappyTreeX1,11.364,2022-03-19
HappyTreeX1,11.317,2022-04-17
