Runner,Time,Date
Michael McFadden,24.439,2004-08-04
IsraeliRD,17.239,2006-03-08
IsraeliRD,16.167,2006-03-11
Sceptus,14.812,2006-03-18
IsraeliRD,9.881,2006-04-15
IsraeliRD,9.010,2006-04-15
IsraeliRD,7.91,2006-06-12
IsraeliRD,7.54,2006-07-08
Xelna,6.375,2006-08-17
Xelna,6.23,2008-10-04
Xelna,5.850,2008-12-30
Xelna,5.849,2008-12-30
Xelna,5.600,2009-01-20
Powerjohn25,4.999,2014-03-25
Nature Freak,4.916,2018-02-17
Nature Freak,4.307,2018-02-17
Xelna,4.218,2019-04-18
Xelna,4.106,2019-04-22
Xelna,4.089,2019-04-23
Xelna,3.830,2019-04-23
Nature Freak,3.805,2019-09-29
Nature Freak,3.590,2019-12-11
