Runner,Time,Date
Michael McFadden,9.039,2004-08-04
Guagan Jackson,8.381,2006-03-18
IsraeliRD,7.881,2006-04-10
Xelna,7.484,2006-08-XX
Dushine,7.03,2007-10-20
Xelna,7.02,2007-10-21
Sonic Warrior1,6.969,2009-01-25
Xelna,6.927,2009-01-20
Sonic Warrior1,6.859,2009-08-10
Dushine,6.833,2011-08-13
Xelna,6.755,2012-01-13
MBCollector672,6.720,2018-04-04
Xedron,6.698,2018-11-08
Xedron,6.633,2019-02-11
Nature Freak,6.628,2019-03-04
Nature Freak,6.617,2019-07-04
Nature Freak,6.613,2019-07-05
Nature Freak,6.583,2019-07-05
Cobalt,6.575,2020-03-09
Cobalt,6.544,2020-03-10
