Runner,Time,Date
Michael McFadden,34.489,2004-08-04
IsraeliRD,28.832,2006-02-21
IsraeliRD,24.205,2006-08-13
Xelna,23.750,2006-09-23
Xelna,???,2006-09-XX
Andrew Patterson,23.328,2006-11-14
Xelna,22.29,2008-10-04
Xelna,22.168,2009-01-15
Dushine,22.15,2009-08-13
Dushine,22.14,2009-08-13
Dushine,21.95,2009-08-13
Xelna,20.821,2009-09-19
Regislian,20.79,2013-09-11
Powerjohn25,20.733,2014-08-07
Powerjohn25,20.566,2016-05-26
Xedron,20.519,2017-12-12
Xedron,20.496,2018-02-09
Xedron,20.316,2018-02-17
Xedron,20.146,2018-02-18
Xedron,20.120,2018-03-09
Xedron,20.089,2018-04-06
Xedron,19.942,2018-04-06
Xedron,19.533,2018-04-06
Xelna,19.511,2020-05-31
Xelna,19.437,2020-05-31
