Runner,Time,Date
Michael McFadden,3.889,2004-08-04
Sceptus,3.343,2006-03-06
Xelna,3.328,2006-08-18
Xelna,3.31,2006-10-06
Xelna,3.307,2009-01-08
Xelna,3.261,2009-03-13
Sonic Warrior1,3.25,2009-04-14
Xelna,3.244,2009-04-14
KidPlayer44,3.21,2009-06-19
KidPlayer44,3.203,2009-07-18
Sonic Warrior1,3.17,2009-08-19
Xelna,3.166,2011-08-30
Regislian,3.157,2014-03-09
Nature Freak,3.156,2015-12-20
DKman00,3.094,2018-03-23
DKman00,3.062,2018-03-24
DKman00,3.031,2018-03-24
DKman00,3.027,2019-01-22
DKman00,3.008,2019-01-23
DKman00,2.988,2019-01-24
