Runner,Time,Date
Michael McFadden,66.189,2004-08-04
IsraeliRD,26.949,2006-02-XX	
IsraeliRD,21.250,2006-08-XX
Andrew Patterson,19.375,2006-08-22
Xelna,18.750,2006-08-25
Andrew Patterson,17.672,2006-08-25
Xelna,16.375,2006-08-25
Xelna,14.869,2009-01-14
Xelna,13.829,2009-01-14
Xelna,13.519,2009-01-14
Xelna,13.409,2011-08-26
dushine,12.699,2013-10-13
hPerks,12.625,2018-03-29
hPerks,12.475,2018-03-29
hPerks,12.445,2018-03-29
Regislian,12.235,2018-04-17
Regislian,11.766,2018-04-19
Xelna,11.692,2020-06-23
Xelna,11.682,2020-06-23
Xelna,11.586,2020-06-23
Xelna,11.558,2020-06-24
Xelna,11.544,2020-06-24
Xelna,11.501,2020-06-24
Xelna,11.482,2020-06-24
