Runner,Time,Date
Michael McFadden,3.799,2004-08-04
IsraeliRD,3.775,2006-02-20
IsraeliRD,3.705,2006-04-17
Xelna,3.687,2006-07-28
Xelna,3.656,2006-08-15
Xelna,3.640,2006-11-06
Xelna,3.634,2009-03-09
Dushine,3.619,2011-08-09
Dushine,3.604,2011-08-11
Xelna,3.603,2011-08-12
Nature Freak,3.600,2016-05-03
Nature Freak,3.599,2016-05-03
Nature Freak,3.583,2017-04-20
DKman00,3.581,2018-09-10
Nature Freak,3.578,2018-10-31
Nature Freak,3.574,2019-01-17
DKman00,3.573,2019-02-21
DKman00,3.569,2019-02-21
Xelna,3.559,2019-02-25
Dom,3.558,2021-09-01
