Runner,Time,Date
Michael McFadden,10.959,2004-08-04
IsraeliRD,8.780,2006-03-12
Sceptus,8.485,2006-06-22
???,7.17,2006-07-XX
IsraeliRD,7.008,2006-07-21
IsraeliRD,6.677,2006-07-21
Sceptus,6.563,2006-08-25
Xelna,6.281,2006-08-28
IsraeliRD,4.744,2006-09-18
IsraeliRD,4.63,2006-11-11
Fat4l P3ngu1n,4.07,2008-XX-XX
IsraeliRD,3.953,2009-01-10
IsraeliRD,3.813,2009-01-11
Xelna,3.580,2009-02-18
Dushine,3.20,2009-06-20
IsraeliRD,3.187,2011-08-31
Powerjohn,3.12,2012-01-23
Xelna,3.119,2012-XX-XX
Xelna,3.027,???
Regislian,2.843,2014-03-04
Nature Freak,2.834,2017-05-10
Powerjohn,2.76,???
Regislian,2.643,???	
Xelna,2.612,2020-06-28
