Runner,Time,Date
Michael McFadden,18.399,2004-08-04
tingly,15.479,2005-08-30
Sceptus,13.968,2006-03-11
IsraeliRD,13.931,2006-03-12
Sceptus,13.907,2006-03-17
IsraeliRD,13.891,2006-03-20
Sceptus,13.812,2006-04-02
IsraeliRD,12.20,2006-08-12
IsraeliRD,11.036,2006-08-12
Xelna,10.766,2006-08-25
Sonic Warrior1,10.750,2009-01-01
Xelna,10.71,2009-01-03
Xelna,10.671,2009-01-04
Akantor,10.57,2009-02-XX
Xelna,10.422,2009-06-19
iMacmatician,10.326,2014-09-17
Nature Freak,10.318,2015-10-26
DKman00,10.309,2018-05-28
Nature Freak,10.255,2018-11-07
Nature Freak,10.235,2019-12-19
Cobalt,10.157,2020-04-14
c0wmanglr,10.110,2021-08-26
c0wmanglr,10.065,2021-08-27
c0wmanglr,10.041,2021-08-27
c0wmanglr,9.931,2021-08-28
