Runner,Time,Date
Michael McFadden,20.669,2004-08-04
Michael McFadden,14.379,2005-08-30
IsraeliRD,13.469,2006-03-27
IsraeliRD,11.296,2006-07-17
Xelna,10.875,2006-09-07
Dushine,10.579,2008-10-17
Dushine,10.509,2009-01-11
Dushine,10.422,2009-01-11
Xelna,10.399,2009-03-01
Xelna,10.359,2009-03-03
Dushine,10.129,2011-08-14
Dushine,10.039,2011-08-14
Dushine,9.939,2011-08-14
Dushine,9.909,2011-08-14
Dushine,9.849,2011-08-14
Dushine,9.797,2011-08-15
Xelna,9.659,2011-08-15
Xelna,8.876,2011-08-15
Dushine,8.799,2011-08-15
Dushine,8.767,2011-08-18
Xelna,8.759,2012-01-11
Xelna,8.729,2012-01-11
Kalle29,8.689,2014-11-27
Xedron,8.659,2018-02-18
Xedron,8.532,2018-02-18
Mazik,8.519,2021-09-06
Mazik,8.470,2021-09-07
