Runner,Time,Date
Michael McFadden,33.329,2004-08-04
Sceptus,30.939,2005-08-30
IsraeliRD,22.814,2006-02-25
Xelna,19.218,2006-07-16
Xelna,14.45,2006-08-10
Xelna,14.188,2006-08-11
Xelna,13.515,2006-09-25
Xelna,13.13,2009-01-10
Xelna,13.042,2009-01-10
hPerks,11.50,2010-06-28
hPerks,10.77,2010-10-17
Xelna,10.709,2011-01-11
Xelna,10.62,2012-01-25
Xelna,10.359,2012-03-XX
Powerjohn25,9.703,2014-08-12
hPerks,9.663,2018-09-16
Cobalt,9.562,2019-04-01
Cobalt,9.484,2019-04-04
Cobalt,9.406,2019-05-14
Cobalt,9.375,2020-01-28
berserk,9.340,2022-03-23
