Runner,Time,Date
Michael McFadden,10.509,2004-08-04
tingly,10.229,2005-08-30
Sceptus,10.109,2006-03-07
Sceptus,10.047,2006-XX-XX
Andrew Patterson,10.009,2006-08-14
Xelna,9.797,2006-08-15
Xelna,9.641,2006-08-16
Dushine,8.579,2008-07-02
Dushine,8.519,2008-10-19
Dushine,8.422,2009-01-09
Dushine,8.143,2011-08-24
Nature Freak,7.935,2016-01-03
Nature Freak,7.930,2016-06-17
Xelna,7.884,2019-04-06
Xelna,7.827,2019-04-06
Xelna,7.823,2019-04-06
Xelna,7.798,2019-04-06
Xelna,7.780,2019-04-06
Xelna,7.776,2019-04-07
Xelna,7.747,2019-04-07
Nature Freak,7.723,2019-12-18
