Runner,Time,Date
Michael McFadden,2.32,2004-08-04
tingly,2.29,2005-08-30
Jerry the Llama,2.289,2006-02-20
Andrew Patterson,2.284,2006-09-08
Xelna,2.279,2007-10-25
Xelna,2.278,2009-01-10
Xelna,2.262,2009-01-25
hPerks,2.236,2011-03-01
Kalle29,2.230,2014-12-31
Nature Freak,2.214,2015-07-23
Nature Freak,2.205,2015-09-02
Nature Freak,2.203,2018-04-28
Nature Freak,2.202,2019-01-17
DKman00,2.199,2019-01-31
Nature Freak,2.196,2019-01-31
Xelna,2.195,2020-12-12
Xelna,2.191,2020-12-12
Xelna,2.190,2020-12-12
Xelna,2.189,2020-12-13
Xelna,2.181,2021-09-07
Xelna,2.176,2021-09-07
Xelna,2.174,2021-09-07
Xelna,2.171,2021-09-07
Xelna,2.170,2021-09-07
Xelna,2.165,2021-09-07
Xelna,2.164,2021-09-08
Xelna,2.163,2021-09-08
Xelna,2.159,2021-09-08
Xelna,2.156,2021-09-08
Xelna,2.152,2021-09-10
