Runner,Time,Date
Michael McFadden,46.819,2004-08-04
IsraeliRD,44.003,2006-03-03
IsraeliRD,43.432,2006-03-11
IsraeliRD,41.839,2006-06-XX
Sceptus,40.759,2006-06-13
Sceptus,39.539,2006-06-14
Xelna,38.610,2006-08-28
Xelna,38.218,2006-10-03
Xelna,36.789,2006-10-08
Xelna,35.521,2008-12-30
Xelna,34.819,2009-01-31
Xelna,34.399,2009-01-31
Xelna,34.249,2009-01-31
Xelna,34.029,2009-02-01
Xelna,33.839,2009-02-01
Xelna,33.618,2009-02-01
ReloadeDragon,33.459,2010-03-13
Xelna,32.559,2010-07-03
Xelna,32.129,2010-11-13
Xelna,32.089,2010-11-13
Xelna,31.512,2010-11-13
Kalle29,31.409,2014-05-05
Kasper,31.319,2014-07-26
Kalle29,30.879,2014-08-XX
Powerjohn25,29.874,2014-08-03
Nihahhat,29.719,2014-10-15
Hitgod,29.609,2015-09-06
Xelna,29.534,2015-12-27
Kalle29,29.360,2016-01-19
Kalle29,29.359,2016-01-19
Kalle29,28.888,2018-03-21
Kalle29,28.342,2020-05-01
Xelna,28.141,2020-06-12
