Runner,Time,Date
Michael McFadden,13.469,2004-08-04
IsraeliRD,11.829,2006-02-20
IsraeliRD,10.614,2006-04-26
Andrew Patterson,2.875,2006-07-16
IsraeliRD,2.383,2006-08-17
Xelna,2.250,2006-09-07
Xelna,2.171,2006-09-19
Ch0rus,2.149,2008-06-11
Xelna,2.137,2009-01-13
Kalle29,2.090,2014-09-11
Kalle29,2.068,2015-09-15
Kasper,2.063,2017-10-07
hPerks,2.047,2018-03-28
hPerks,2.012,2018-03-28
hPerks,1.988,2018-03-28
hPerks,1.973,2018-03-29
hPerks,1.955,2019-05-15
BlastedMarble,1.944,2020-05-01
BlastedMarble,1.938,2020-05-02
Xelna,1.913,2021-09-14
Xelna,1.912,2021-09-14
Xelna,1.906,2021-09-14
