Runner,Time,Date
Michael McFadden,5.329,2004-08-04
Sceptus,5.157,2005-08-30
Andrew Patterson,5.156,2006-08-13
Xelna,5.148,2009-02-06
m2mm4m,5.133,2014-07-28
Nature Freak,5.130,2015-02-27
Nature Freak,5.129,2015-06-24
Nature Freak,5.128,2015-11-04
Nature Freak,5.123,2015-11-04
Nature Freak,5.121,2015-11-04
Nature Freak,5.117,2015-11-23
StewMan46,5.105,2016-11-06
Xelna,5.102,2019-04-07
Xelna,5.099,2019-04-08
DKman00,5.077,2020-09-13
Xelna,5.072,2020-09-14
Xelna,5.067,2020-09-14
Xelna,5.066,2020-09-14
Xelna,5.065,2020-09-14
Xelna,5.062,2020-09-14
Xelna,5.061,2020-09-14
Xelna,5.056,2020-09-14
Dom,5.054,2020-09-23
Xelna,5.051,2021-09-10
Xelna,5.041,2021-09-10
Xelna,5.033,2021-09-10
