Runner,Time,Date
Michael McFadden,13.619,2004-08-04
IsraeliRD,8.302,2006-03-27
IsraeliRD,8.122,2006-04-14
Xelna,7.922,2006-07-15
Xelna,7.843,2006-07-29
Xelna,6.875,2006-08-18
Xelna,6.750,2006-10-05
Rigel,6.73,2007-06-11
Dushine,6.51,2008-09-XX
Dushine,6.48,2008-09-XX
Dushine,6.453,2009-01-12
Xelna,6.428,2009-03-06
Dushine,6.375,2009-08-06
Xelna,6.36,2011-07-28
Xelna,6.35,2011-07-28
Xelna,6.34,2011-07-29
Xelna,6.334,2011-07-29
Dushine,6.287,2011-08-18
Kalle29,6.240,2014-11-15
Regislian,6.130,2015-09-21
Kalle29,6.118,2016-12-16
Nature Freak,6.107,2018-12-11
Xedron,6.093,2019-03-10
Xedron,6.042,2019-03-10
