Runner,Time,Date
Michael McFadden,56.239,2004-08-04
IsraeliRD,49.491,2006-04-02
IsraeliRD,44.234,2006-04-02
IsraeliRD,39.839,2006-04-24
IsraeliRD,39.496,2006-04-24
IsraeliRD,37.184,2006-07-XX
Andrew Patterson,34.453,2006-07-30
Xelna,25.969,2006-09-03
Xelna,25.569,2006-09-05
Xelna,25.547,2006-09-05
Xelna,25.369,2006-09-06
Xelna,24.969,2006-09-07
IsraeliRD,24.959,2008-12-13
IsraeliRD,24.719,2008-12-13
IsraeliRD,24.688,2008-12-14
Xelna,24.679,2009-02-24
Xelna,24.609,2009-02-24
Xelna,24.274,2009-02-24
???,24.149,2009-07-10
iMacmatician,23.984,2009-09-12
Powerjohn25,23.299,2010-11-XX
Powerjohn25,22.994,2010-11-XX
Xelna,21.079,2011-07-23
Xelna,20.639,2011-07-23
Xelna,20.189,2011-07-23
Xelna,20.069,2011-07-23
Xelna,19.859,2011-07-31
Xedron,19.689,2018-04-08
Xedron,19.336,2019-03-11
Cobalt,19.133,2020-05-11
Xelna,19.116,2020-07-02
