Runner,Time,Date
Michael McFadden,34.039,2004-08-04
IsraeliRD,20.599,2006-04-10
Sceptus,22.047,2006-02-19
Sceptus,20.12,2006-06-XX
Sceptus,18.672,2006-06-22
Xelna,18.26,2006-08-10
Xelna,17.688,2006-08-10
Xelna,16.06,2006-09-17
Xelna,15.234,2006-09-17
Xelna,14.141,2006-09-XX
Xelna,13.969,2006-10-23
Xelna,13.728,2009-01-04
Xelna,13.587,2009-01-09
Xelna,13.43,2009-03-12
Xelna,12.947,2009-03-13
Xelna,12.90,2011-12-24
Xelna,12.292,2011-12-25
Xelna,12.135,2011-12-26
Xelna,11.902,2011-12-26
Xedron,11.360,2018-03-11
Xedron,11.229,2018-03-25
Xedron,10.989,2018-03-25
Xedron,10.808,2018-03-26
Xedron,10.650,2018-04-07
Xedron,10.504,2018-04-07
Xedron,10.449,2018-04-07
Xedron,10.366,2019-02-22
Xelna,10.347,2020-06-20
