Runner,Time,Date
Michael McFadden,4.399,2004-08-04
IsraeliRD,4.366,2006-02-23
Xelna,4.250,2006-07-18
Andrew Patterson,4.170,2006-08-XX
Andrew Patterson,4.140,2006-08-13
Xelna,3.968,2006-08-15
Andrew Patterson,3.948,2008-XX-XX
Xelna,3.947,2009-01-10
Xelna,3.931,2009-01-10
iMacmatician,3.899,2010-01-16
Xelna,3.401,2011-01-31
Xelna,3.369,2013-12-10
Nature Freak,3.273,2016-03-23
Powerjohn25,3.262,2017-04-08
Xedron,2.685,2018-04-02
Nature Freak,2.631,2020-03-21
Xelna,2.364,2020-03-23
Xedron,2.283,2020-04-06
Xedron,2.269,2020-04-06
