Runner,Time,Date
Michael McFadden,7.769,2004-08-04
IsraeliRD,5.809,2006-04-30
Andrew Patterson,3.786,2006-05-25
Andrew Patterson,3.719,2006-05-26
Andrew Patterson,2.656,2006-07-17
IsraeliRD,2.464,2006-07-17
IsraeliRD,2.399,2006-07-17
IsraeliRD,2.334,2006-07-17
Xelna,2.078,2006-08-29
Ch0rus,2.069,2007-04-20
Xelna,2.043,2009-01-08
Ch0rus,2.039,2009-09-18
???,2.029,2011-XX-XX
Dushine,1.997,2011-08-24
Kalle29,1.965,2014-09-09
Nature Freak,1.964,2016-03-25
Nature Freak,1.960,2016-03-25
Nature Freak,1.949,2016-03-25
Nature Freak,1.947,2019-06-21
Xelna,1.943,2020-09-17
Xelna,1.936,2021-09-07
Xelna,1.931,2021-09-08
