Runner,Time,Date
Michael McFadden,29.069,2004-08-04
IsraeliRD,24.345,2006-02-21
Xelna,18.640,2006-07-16
Xelna,17.15,2006-07-XX
IsraeliRD,11.084,2006-07-21
Xelna,10.625,2006-08-04
IsraeliRD,10.055,???
Xelna,9.843,2009-01-11
IsraeliRD,9.81,2009-04-19
Xelna,8.907,2009-04-20
Eguy,8.282,2016-11-01
Nature Freak,7.980,2017-02-13
Xelna,7.961,2020-03-31
Xelna,7.897,2020-03-31
Xelna,7.794,2020-03-31
Xelna,7.646,2020-04-01
Xelna,7.631,2020-05-10
Xelna,7.607,2020-05-10
Xelna,7.560,2020-05-12
Xelna,7.539,2020-05-12
Xelna,7.518,2020-05-12
