Runner,Time,Date
Michael McFadden,3.008,2004-08-04
Andrew Patterson,3.003,2006-07-XX
Xelna,2.995,2009-01-11
iMacmatician,2.994,2009-04-22
Kalle29,2.979,2014-12-31
Nature Freak,2.946,2015-07-18
Nature Freak,2.934,2015-07-22
Nature Freak,2.928,2015-09-02
Nature Freak,2.919,2015-11-03
Nature Freak,2.913,2015-11-03
Nature Freak,2.912,2015-11-24
Nature Freak,2.911,2019-01-18
Xelna,2.908,2020-04-04
Xelna,2.907,2020-04-04
Xelna,2.901,2020-05-19
Xelna,2.899,2020-05-19
Xelna,2.898,2020-12-12
DKman00,2.889,2021-09-04
DKman00,2.888,2021-09-04
DKman00,2.884,2021-09-04
Dom,2.881,2021-09-04
Dom,2.878,2021-09-04
Dom,2.873,2021-09-04
Xelna,2.869,2021-09-04
Xelna,2.868,2021-09-04
Xelna,2.865,2021-09-04
Xelna,2.861,2021-09-04
Dom,2.860,2022-03-15
Dom,2.859,2022-03-15
Dom,2.858,2022-03-17
