Runner,Time,Date
Michael McFadden,8.779,2004-08-04
IsraeliRD,7.560,2006-03-27
Sceptus,7.312,2006-06-19
Xelna,7.234,2006-09-XX
Sceptus,7.219,2006-12-08
IsraeliRD,7.129,2007-06-21
IsraeliRD,7.078,2008-12-19
Xelna,7.051,2009-02-07
KidPlayer44,7.049,2009-08-18
iMacmatician,7.039,2010-09-20
Xelna,7.029,2010-09-20
iMacmatician,7.019,2010-11-02
iMacmatician,6.988,2010-11-12
Powerjohn25,6.958,2014-08-17
Nature Freak,6.944,2016-09-17
Kalle29,6.933,2016-09-17
Xedron,6.867,2020-04-02
Blasted,6.857,2021-09-01
