Runner,Time,Date
Michael McFadden,61.269,2004-08-04
IsraeliRD,58.654,2006-03-27
Xelna,55.891,2006-07-18
IsraeliRD,55.679,2006-08-18
Xelna,47.484,2006-11-04
Xelna,45.078,2006-11-04
Xelna,44.078,2006-11-04
Xelna,42.939,2009-01-14
Xelna,42.219,2009-01-14
Xelna,41.886,2009-01-14
Xelna,39.764,2009-08-12
Xelna,37.379,2011-07-06
Xelna,37.175,2011-07-08
Powerjohn25,37.169,2014-08-14
Nature Freak,36.243,2016-04-27
Xedron,36.064,2018-03-26
Xedron,35.600,2019-03-02
Xedron,35.170,2019-03-03
Nature Freak,34.928,2020-01-10
Nature Freak,34.173,2020-02-07
Xelna,33.984,2020-07-18
Xelna,33.875,2020-07-19
Nature Freak,33.814,2021-02-10
