Runner,Time,Date
Michael McFadden,5.759,2004-08-04
Sceptus,4.859,2005-08-30
Mark Florian,4.349,2006-02-20
Xelna,4.250,2006-08-09
Dushine,4.009,2008-06-28
Perishingflames,3.969,2008-07-XX
Dushine,3.953,2009-01-10
Xelna,3.946,2009-02-11
Xelna,3.916,2009-02-12
Regislian,3.879,2013-07-02
m2mm4m,3.791,2013-09-02
Nature Freak,3.788,2016-04-03
J@ckRB,3.785,2016-07-27
Rigel,3.716,2016-11-23
Nature Freak,3.695,2018-11-18
M@s,3.684,2019-04-16
DKman00,3.653,2020-10-02
DKman00,3.636,2020-10-02
Dom,3.632,2020-10-08
Dom,3.627,2020-10-09
