Runner,Time,Date
Michael McFadden,20.529,2004-08-04
IsraeliRD,19.808,2006-02-21
IsraeliRD,19.709,2006-04-17
IsraeliRD,17.525,2006-06-21
Xelna,14.797,2006-08-03
Xelna,14.299,2006-08-04
IsraeliRD,14.049,2007-10-26
IsraeliRD,13.909,2007-10-26
Xelna,13.853,2009-01-09
Xelna,13.759,2009-01-26
Xelna,13.719,2009-01-26
Xelna,13.509,2009-01-26
Xelna,13.479,2009-01-29
Xelna,13.432,2013-12-10
Kalle29,13.429,2018-02-17
Kalle29,13.369,2018-02-17
hPerks,12.911,2018-04-13
hPerks,12.649,2018-04-13
hPerks,12.639,2018-04-13
hPerks,12.546,2018-04-13
hPerks,12.469,2018-04-19
hPerks,12.407,2018-04-19
hPerks,12.299,2018-04-19
hPerks,12.175,2018-04-19
Xelna,12.152,2020-07-06
Xelna,12.139,2020-07-06
Xelna,12.068,2020-07-06
Xelna,12.006,2020-07-06
Xelna,11.946,2020-07-06
