Runner,Time,Date
Michael McFadden,14.349,2004-08-04
Sceptus,13.049,2005-08-30
Sceptus,7.640,2006-02-20
IsraeliRD,7.591,2006-02-XX
IsraeliRD,7.429,2006-06-09
IsraeliRD,6.800,2006-06-09
IsraeliRD,6.739,2006-06-09
IsraeliRD,5.959,2006-07-16
IsraeliRD,5.749,2006-07-21
Xelna,5.679,2006-08-30
IsraeliRD,5.509,2006-09-XX
IsraeliRD,5.449,2006-10-04
Dushine,5.259,2008-07-05
Dushine,4.619,2009-02-13
Dushine,4.569,2009-02-13
Dushine,4.531,2009-02-13
Hobomaan,3.939,2009-02-XX
Xelna,3.924,2009-02-21
Xelna,3.876,2009-02-22
DKman00,3.828,2018-03-17
DKman00,3.817,2019-02-21
DKman00,3.761,2019-02-21
DKman00,3.760,2019-03-17
Xedron,3.736,2019-04-16
Xedron,3.722,2019-04-16
Xedron,3.671,2019-04-17
Xedron,3.667,2019-04-17
Xelna,3.666,2020-06-06
