Runner,Time,Date
Michael McFadden,59.239,2004-08-04
IsraeliRD,54.689,2006-02-21
IsraeliRD,53.567,2006-04-26
Gabor Toth,47.299,2006-06-14
Gabor Toth,45.979,2006-07-26
Xelna,44.959,2006-08-05
Xelna,43.679,2006-08-05
Xelna,43.079,2006-08-05
Xelna,42.209,2006-08-05
Xelna,41.329,2006-08-05
Xelna,40.629,2006-08-05
Xelna,40.619,2006-08-05
Xelna,40.439,2006-08-05
Xelna,40.049,2006-08-05
Xelna,39.989,2006-08-05
Xelna,39.969,2006-08-05
Xelna,39.379,2006-08-05
Xelna,38.687,2006-08-18
Xelna,38.000,2006-08-30
Xelna,35.906,2006-08-30
Xelna,35.272,2009-01-12
Xelna,35.163,2009-01-12
Xelna,35.059,2009-01-12
Xelna,34.949,2009-01-12
Xelna,34.835,2009-01-12
Xelna,33.166,2009-02-22
Xelna,32.776,2009-02-23
Xelna,31.109,2011-08-13
Xelna,30.299,2011-08-13
Xelna,29.429,2011-08-13
Xelna,29.379,2011-08-13
Xelna,29.281,2011-08-13
Xelna,29.069,2011-08-14
Xelna,28.953,2011-08-14
Xelna,28.789,2017-04-07
Xelna,28.699,2017-04-08
Xedron,28.593,2018-03-11
Xedron,28.567,2018-03-26
Xedron,28.420,2018-03-26
Regislian,28.377,2018-10-29
Xelna,28.310,2019-05-03
Xelna,28.274,2019-05-03
Xelna,28.016,2019-05-03
Xelna,27.993,2019-05-03
Xelna,27.976,2019-05-04
Xelna,27.975,2019-05-04
Xelna,27.919,2019-05-04
Xelna,27.367,2020-09-04
Xelna,27.163,2020-09-05
Xelna,27.094,2020-09-05
Xelna,27.039,2020-09-05
Xelna,26.978,2020-09-05
Powerjohn25,26.919,2021-11-07
