Runner,Time,Date
Michael McFadden,44.419,2004-08-04
Sceptus,29.625,2006-02-25
Sceptus,29.188,2006-03-11
IsraeliRD,28.802,2006-04-24
Xelna,24.922,2006-08-18
Xelna,20.875,2006-08-24
Regislian,19.26,2007-10-24
Xelna,19.23,2009-01-14
Xelna,19.00,2009-01-14
Xelna,18.876,2009-01-15
Regislian,18.82,2009-12-07
Xelna,18.81,2010-11-12
Xelna,18.751,2010-11-12
Kalle29,18.580,???
Kalle29,18.533,???
Kalle29,18.361,???
Kalle29,18.237,2014-02-22
Eguy,18.152,2018-02-23
Kalle29,18.016,2018-03-09
Powerjohn25,17.984,2021-11-02
