Runner,Time,Date
Michael McFadden,11.399,2004-08-04
Sceptus,10.039,2005-08-30
Sceptus,9.609,2006-02-20
Sceptus,9.209,2006-06-07
Xelna,9.18,2006-08-05
Sceptus,9.14,2006-08-XX
Xelna,8.969,2006-08-30
Regislian,8.85,2007-10-25
Xelna,8.814,2007-10-26
Xelna,8.79,2009-01-23
Xelna,8.76,2009-01-23
Xelna,8.736,2009-01-23
Nature Freak,8.730,2015-10-14
Nature Freak,8.729,2015-10-28
Nature Freak,8.678,2017-05-07
Xedron,8.667,2019-03-14
Xedron,8.663,2019-03-14
Xedron,8.660,2019-03-14
Xedron,8.643,2019-03-14
Xedron,8.638,2019-03-14
Nature Freak,8.620,2019-03-16
Xedron,8.605,2020-03-20
c0wmanglr,8.503,2021-08-30
c0wmanglr,8.471,2021-08-30
