Runner,Time,Date
Michael McFadden,12.839,2004-08-04
tingly,11.629,2005-08-30
Sceptus,10.375,2006-02-26
Sceptus,10.35,2006-02-26
IsraeliRD,10.325,2006-06-XX
Xelna,10.312,2006-08-25
Regislian,10.29,2007-10-24
Regislian,10.25,2007-10-25
Xelna,10.233,2007-10-25
Xelna,10.209,2007-10-25
Xelna,10.203,2009-01-18
Xelna,10.202,2009-01-18
Xelna,10.186,2009-01-18
Xelna,10.155,2011-08-20
Powerjohn25,10.149,2013-11-15
Powerjohn25,10.124,2014-08-06
Kalle29,10.093,2014-08-12
Xedron,9.915,2019-03-06
Cobalt,9.880,2020-04-13
Cobalt,9.875,2020-04-15
Cobalt,9.778,2020-04-16
Cobalt,9.749,2020-04-25
Cobalt,9.678,2020-04-25
c0wmanglr,9.657,2021-08-25
