Runner,Time,Date
Michael McFadden,3.699,2004-08-04
Michael McFadden,3.539,2005-08-30
IsraeliRD,3.355,2006-03-04
Sceptus,3.281,2006-03-04
Xelna,2.734,2006-08-30
Xelna,2.688,2006-09-22
Xelna,2.683,2008-12-XX
Xelna,2.679,2006-10-XX
Ch0rus,2.670,2007-05-19
Xelna,2.667,2009-02-13
KidPlayer44,2.657,2009-04-18
Sonic Warrior1,2.641,2009-04-18
Xelna,2.629,2009-04-18
Sonic Warrior1,2.609,2009-04-19
Xelna,2.590,2009-04-19
Sonic Warrior1,2.569,2009-04-20
Xelna,2.562,2009-04-22
Sonic Warrior1,2.531,2009-10-30
Nature Freak,2.527,2017-02-24
Nature Freak,2.520,2019-01-02
Xedron,2.493,2019-03-24
Nature Freak,2.489,2019-03-26
Xelna,2.484,2019-03-27
Dom,2.480,2022-01-25
