Runner,Time,Date
Michael McFadden,41.739,2004-08-04
Sceptus,38.159,2005-08-30
IsraeliRD,35.461,2006-02-04
Sceptus,33.547,2006-02-XX
IsraeliRD,30.934,2006-02-27
Xelna,29.969,2006-07-29
Xelna,29.469,2006-08-24
IsraeliRD,26.098,2006-08-XX
Xelna,26.094,2006-09-02
IsraeliRD,25.699,2006-10-08
Xelna,25.549,2006-11-11
IsraeliRD,24.979,2006-11-12
IsraeliRD,24.349,2006-11-12
Xelna,24.219,2009-01-08
Xelna,24.040,2009-01-08
Xelna,23.213,2009-02-07
Xelna,23.199,2011-02-01
Xelna,22.652,2011-02-01
Kalle29,22.439,2014-08-13
Kalle29,21.716,2014-08-14
Kalle29,21.543,2015-07-26
Xedron,21.138,2018-03-25
Xedron,21.059,2018-03-26
Xedron,20.873,2018-03-26
Xedron,20.724,2018-03-30
Xedron,20.600,2019-03-08
Xedron,20.273,2019-03-08
Xedron,20.237,2020-04-17
Xedron,20.164,2020-04-17
