Runner,Time,Date
Michael McFadden,43.879,2004-08-04
Sceptus,37.657,2006-03-04
IsraeliRD,34.810,2006-04-10
Xelna,28.422,2006-08-15
Xelna,28.172,2006-08-XX
Xelna,27.409,2009-01-11
Xelna,27.394,2009-01-11
Xelna,27.039,2009-01-11
Xelna,26.959,2009-01-11
Xelna,26.708,2009-01-11
Xelna,26.380,2009-02-20
Xelna,26.029,2009-02-20
Xelna,25.256,2009-02-20
Xelna,25.149,2009-02-21
Xelna,25.089,2009-02-21
Xelna,25.069,2009-02-21
Xelna,24.758,2009-02-21
Nihahhat,23.843,2014-10-08
Kalle29,22.725,2018-03-13
Kalle29,22.037,2019-06-17
Kalle29,21.930,2020-05-10
Kalle29,21.674,2020-05-11
