Runner,Time,Date
Michael McFadden,31.279,2004-08-04
Connor,26.05,2006-02-03
Sceptus,25.828,2006-03-11
IsraeliRD,24.956,2006-03-12
IsraeliRD,24.075,2006-03-12
Sceptus,23.750,2006-04-02
IsraeliRD,17.504,2006-07-XX
Xelna,17.10,2006-07-20
IsraeliRD,17.05,2006-07-21
IsraeliRD,16.654,2006-08-17
IsraeliRD,16.62,2006-10-03
IsraeliRD,15.923,2006-10-05
IsraeliRD,15.920,2006-10-06
Xelna,15.828,2008-10-04
Xelna,15.803,2009-01-08
Xelna,14.539,2009-04-08
Xelna,14.149,2009-04-08
Xelna,14.071,2009-04-08
Xelna,13.947,2009-04-10
Xelna,13.650,2011-08-17
Xelna,13.588,2011-08-19
Nature Freak,13.551,2017-01-14
Nature Freak,13.337,2017-01-15
Xedron,13.178,2018-11-01
DKman00,13.132,2019-06-18
DKman00,13.105,2019-12-16
MurhaajaFasaani,12.776,2020-01-12
Xelna,12.756,2020-07-20
