Runner,Time,Date
Michael McFadden,50.349,2004-08-04
IsraeliRD,47.172,2006-02-21
IsraeliRD,46.842,2006-04-27
IsraeliRD,9.974,2006-07-16
Xelna,7.922,2006-07-XX
IsraeliRD,7.846,2006-07-29
Xelna,7.375,2006-10-03
Xelna,6.849,2007-05-17
IsraeliRD,6.909,2009-03-17
IsraeliRD,6.759,2009-03-17
IsraeliRD,6.641,2009-03-17
Xelna,6.630,2009-03-17
Xelna,6.334,2009-03-17
Powerjohn,6.319,2011-05-06
Xelna,6.259,2011-07-18
Powerjohn,6.199,2011-07-21
Xelna,6.059,2011-07-22
Xelna,5.928,2011-07-29
Regislian,5.782,2014-03-04
Nature Freak,5.407,2016-03-17
