Runner,Time,Date
Michael McFadden,3.719,2004-08-04
Sceptus,3.689,2005-08-30
Gooner Jones,3.519,2006-02-20
Sceptus,3.379,2006-02-XX
Xelna,3.360,2006-07-18
Xelna,3.219,2006-08-10
Xelna,3.171,2006-08-10
Andrew Patterson,3.156,2006-08-14
Dushine,3.129,2008-10-18
Regislian,3.099,2008-12-XX
Xelna,3.042,2008-12-31
Xelna,3.019,2009-07-19
Xelna,2.984,2009-07-19
Xelna,2.964,2011-07-24
StewMan46,2.943,2018-03-17
Nature Freak,2.933,2018-12-15
Nature Freak,2.909,2019-06-27
DKman00,2.474,2021-09-07
Xelna,2.429,2021-09-08
Xelna,2.423,2021-09-09
Dom,2.417,2021-09-10
