Runner,Time,Date
Michael McFadden,20.249,2004-08-04
IsraeliRD,17.757,2006-04-10
IsraeliRD,15.674,2006-04-29
Xelna,11.453,2006-08-18
Xelna,9.562,2006-08-20
Xelna,7.390,2006-09-22
IsraeliRD,7.099,2006-09-22
Xelna,4.562,2006-09-22
Xelna,4.172,2006-09-23
Xelna,3.869,2006-09-24
Xelna,3.750,2006-09-24
Xelna,3.719,2006-09-27
Xelna,3.529,2009-01-16
Xelna,3.499,2009-01-16
Xelna,3.417,2009-01-17
Xelna,3.385,2009-01-31
Xelna,3.370,2011-08-24
dushine,3.359,2013-08-06
Xelna,3.276,2013-08-07
Xedron,3.219,2019-03-11
Xedron,3.199,2019-03-11
Xedron,3.164,2019-03-11
Xedron,3.080,2019-03-11
Xedron,3.008,2019-03-11
Xedron,2.955,2019-03-11
Xelna,2.951,2020-07-04
