Runner,Time,Date
Michael McFadden,3.809,2004-08-04
IsraeliRD,3.805,2006-04-12
IsraeliRD,3.786,2006-04-17
Xelna,3.671,2006-08-17
Andrew Patterson,3.603,2006-08-23
Andrew Patterson,3.596,???
Xelna,3.579,2006-09-23
Xelna,3.297,2006-09-23
Xelna,3.250,2006-09-23
Xelna,3.235,2006-09-23
Sonic Warrior1,3.198,2008-10-26
Xelna,3.182,2009-01-13
BlastedMarble,3.167,2014-04-17
Kalle29,3.053,2015-09-14
Regislian,2.950,2018-04-07
Regislian,2.908,2018-04-21
Regislian,2.898,2018-04-28
Xelna,2.894,2020-05-25
Xelna,2.888,2020-05-26
Blasted,2.885,2021-08-19
Blasted,2.882,2021-08-20
