Runner,Time,Date
Michael McFadden,4.649,2004-08-04
Sceptus,4.189,2005-08-30
Ronzo,3.922,2006-03-15
IsraeliRD,3.806,2006-XX-XX
Andrew Patterson,3.797,2006-05-26
Andrew Patterson,3.547,2006-05-26
Xelna,3.406,2006-08-28
Xelna,3.281,2006-10-23
Xelna,3.199,2008-12-28
Xelna,3.079,2008-12-28
Xelna,3.019,2008-12-28
Xelna,2.996,2008-12-28
Xelna,2.980,2009-03-06
Xelna,2.277,2009-03-21
Nature Freak,2.244,2015-10-31
Nature Freak,2.240,2015-11-22
Nature Freak,2.238,2019-01-19
Nature Freak,2.208,2019-01-27
Nature Freak,2.204,2019-02-01
Xelna,2.174,2021-09-14
Xelna,2.156,2021-09-14
Xelna,2.092,2021-09-14
Xelna,2.087,2021-09-14
