Runner,Time,Date
Michael McFadden,2.979,2004-08-04
tingly,2.952,2005-08-30
Andrew Patterson,2.907,2006-04-24
Sceptus,2.844,2006-05-14
Andrew Patterson,2.827,2006-XX-XX
Xelna,2.777,2008-12-31
Nature Freak,2.771,2017-05-13
Nature Freak,2.769,2017-05-13
Nature Freak,2.768,2017-05-13
Nature Freak,2.765,2019-03-21
Nature Freak,2.764,2019-03-21
Nature Freak,2.763,2019-03-22
Nature Freak,2.760,2019-03-23
Nature Freak,2.758,2019-03-23
Nature Freak,2.757,2019-03-23
Nature Freak,2.755,2019-03-23
Xelna,2.754,2020-05-24
Dom,2.753,2020-10-21
