Runner,Time,Date
Michael McFadden,16.619,2004-08-04
IsraeliRD,15.933,2006-02-21
IsraeliRD,15.462,2006-XX-XX
Xelna,14.438,2006-08-17
???,14.299,???
Xelna,14.029,2009-01-14
Xelna,13.931,2009-01-14
Xelna,13.919,2009-01-26
Xelna,13.478,2009-01-27
Xelna,13.384,2009-12-03
Powerjohn,12.829,2010-10-29
Powerjohn,12.779,2010-11-14
Powerjohn,12.499,2010-11-14
Powerjohn,12.359,2011-01-15
Xelna,12.299,2011-07-20
Xelna,11.887,2011-07-21
Powerjohn,11.709,2017-04-08
Nature Freak,11.401,2017-08-07
Xedron,11.274,2019-04-12
Xedron,11.177,2019-04-13
Xedron,10.853,2019-04-13
