Runner,Time,Date
Michael McFadden,23.049,2004-08-04
IsraeliRD,16.484,2006-02-20
IsraeliRD,14.501,2006-08-XX
Xelna,14.391,2006-08-17
Xelna,14.188,2006-08-18
Xelna,10.235,2006-09-07
Xelna,10.093,2006-10-03
Regislian,9.109,2008-11-XX
Xelna,9.002,2009-01-19
iMacmatician,8.969,2010-11-19
Powerjohn25,8.830,2014-08-08
Nature Freak,8.814,2015-09-02
HappyTreeX1,8.806,2021-07-20
HappyTreeX1,8.799,2021-07-21
HappyTreeX1,8.736,2021-07-23
HappyTreeX1,8.431,2021-08-23
HappyTreeX1,8.392,2021-08-31
HappyTreeX1,8.382,2021-10-03
HappyTreeX1,8.370,2021-10-06
