Runner,Time,Date
Michael McFadden,5.819,2004-08-04
Sceptus,5.159,2005-08-30
IsraeliRD,4.997,2006-03-27
IsraeliRD,4.947,2006-04-10
Andrew Patterson,4.922,2006-07-29
Andrew Patterson,4.819,2006-08-14
Xelna,4.369,2006-08-17
Xelna,4.109,2006-08-17
Xelna,4.079,2006-08-17
Xelna,4.069,2006-08-17
Xelna,3.939,2006-08-17
Xelna,3.849,2006-08-17
Xelna,3.813,2006-08-17
Andrew Patterson,3.781,2006-11-14
Xelna,3.744,2009-01-09
Xelna,3.713,2009-01-29
Nature Freak,3.690,2018-01-16
DKman00,3.687,2018-05-12
Nature Freak,3.676,2018-10-30
DKman00,3.632,2019-04-01
Xelna,3.578,2019-04-01
DKman00,3.503,2019-04-01
Xelna,3.500,2019-04-02
Xelna,3.310,2019-04-02
