Runner,Time,Date
Michael McFadden,2.319,2004-08-09
tingly,2.261,2005-08-30
Technostick,2.251,2006-07-28
Sporlo,2.250,2006-08-XX
Andrew Patterson,2.249,2006-11-07
Xelna,2.239,2007-10-26
Xelna,2.231,2009-01-11
hPerks,2.22,2010-08-19
KidPlayer47	2.219,2010-11-07
hPerks,2.218,2011-03-01
Xelna,2.200,2011-07-22
hPerks,2.194,2011-03-03
Nature Freak,2.190,2015-09-02
Nature Freak,2.184,2015-09-02
Nature Freak,2.172,2019-01-04
Nature Freak,2.168,2019-01-04
Xelna,2.167,2021-08-26
Xelna,2.161,2021-09-07
Xelna,2.159,2021-09-07
Xelna,2.146,2021-09-07
Xelna,2.139,2021-09-07
Xelna,2.131,2021-09-07
Xelna,2.129,2021-09-07
Xelna,2.125,2021-09-07
Xelna,2.124,2021-09-08
Xelna,2.121,2021-09-09
Xelna,2.120,2021-09-09
Xelna,2.119,2021-09-10
