Runner,Time,Date
Michael McFadden,4.719,2004-08-04
IsraeliRD,2.708,2006-02-04
Xelna,2.60,2006-08-06
Xelna,2.51,2006-08-09
Xelna,2.48,2006-08-09
Xelna,2.469,2006-08-09
Xelna,2.468,2006-08-09
Xelna,2.45,2006-08-09
Xelna,2.43,2006-08-09
Xelna,2.429,2006-08-09
Xelna,2.428,2006-08-09
Xelna,2.406,2006-08-09
IsraeliRD,2.393,2006-08-17
IsraeliRD,2.390,2009-03-03
iMacmatician,2.389,2010-01-07
ReloadeDragon,2.377,2011-08-13
Moshe,2.376,2013-02-26
Kalle29,2.368,2015-09-14
Nature Freak,2.366,2018-04-28
M@s,2.364,2018-10-24
Nature Freak,2.363,2018-10-30
Blasted,2.361,2020-03-28
IsraeliRD,2.359,2020-03-29
M@s,2.358,2020-05-26
Blasted,2.346,2020-11-24
Xelna,2.336,2020-11-29
Blasted,2.334,2021-03-26
Blasted,2.326,2021-03-27
Xelna,2.323,2021-09-11
Xelna,2.316,2021-09-11
Xelna,2.314,2021-09-11
Xelna,2.308,2021-09-11
